Date,BBCA,BYAN,TPIA,BBRI,BMRI,DSSA,TLKM,ASII,BBNI,ICBP
2018-01-01,3723.92626953125,704.8020629882812,1457.0711669921875,2289.992919921875,2728.36376953125,1390.0,3052.777587890625,5383.9287109375,3732.603271484375,7495.26171875
2018-01-02,3723.92626953125,711.4512329101562,1438.857666015625,2283.70166015625,2677.20703125,1410.0,3032.150390625,5319.0625,3685.47509765625,7663.6943359375
2018-01-03,3723.92626953125,711.4512329101562,1402.4310302734375,2271.119140625,2626.05029296875,1390.0,2908.3896484375,5221.76171875,3553.513916015625,7663.6943359375
2018-01-04,3779.189697265625,704.8020629882812,1347.791015625,2233.371826171875,2668.6806640625,1390.0,2901.513671875,5335.27880859375,3544.088134765625,7684.74853515625
2018-01-05,3783.441162109375,708.1266479492188,1384.2176513671875,2258.536865234375,2668.6806640625,1390.0,2942.76806640625,5383.9287109375,3506.385498046875,7811.0732421875
2018-01-06,3783.441162109375,708.1266479492188,1384.2176513671875,2258.536865234375,2668.6806640625,1390.0,2942.76806640625,5383.9287109375,3506.385498046875,7811.0732421875
2018-01-07,3783.441162109375,708.1266479492188,1384.2176513671875,2258.536865234375,2668.6806640625,1390.0,2942.76806640625,5383.9287109375,3506.385498046875,7811.0732421875
2018-01-08,3800.4453125,691.5040283203125,1396.35986328125,2258.536865234375,2702.785400390625,1390.0,2929.016357421875,5383.9287109375,3506.385498046875,7579.47802734375
2018-01-09,3830.202392578125,698.1531372070312,1396.35986328125,2245.9541015625,2694.2587890625,1390.0,2887.762939453125,5302.84521484375,3506.385498046875,7474.20751953125
2018-01-10,3817.4501953125,631.6622314453125,1359.9329833984375,2220.78955078125,2694.2587890625,1390.0,2880.88720703125,5367.71240234375,3496.95947265625,7347.88232421875
2018-01-11,3859.9599609375,701.4776611328125,1341.7197265625,2227.08056640625,2753.9423828125,1390.0,2867.1357421875,5351.4951171875,3496.95947265625,7347.88232421875
2018-01-12,3813.1982421875,681.5303955078125,1341.7197265625,2227.08056640625,2762.468505859375,1390.0,2839.633056640625,5302.84521484375,3496.95947265625,7453.1533203125
2018-01-13,3813.1982421875,681.5303955078125,1341.7197265625,2227.08056640625,2762.468505859375,1390.0,2839.633056640625,5302.84521484375,3496.95947265625,7453.1533203125
2018-01-14,3813.1982421875,681.5303955078125,1341.7197265625,2227.08056640625,2762.468505859375,1390.0,2839.633056640625,5302.84521484375,3496.95947265625,7453.1533203125
2018-01-15,3821.700927734375,718.1002197265625,1335.64892578125,2233.371826171875,2796.572509765625,1390.0,2832.7578125,5302.84521484375,3581.791748046875,7453.1533203125
2018-01-16,3842.9560546875,708.1266479492188,1335.64892578125,2271.119140625,2805.098876953125,1390.0,2894.63818359375,5335.27880859375,3619.494873046875,7453.1533203125
2018-01-17,3766.436767578125,708.1266479492188,1335.64892578125,2283.70166015625,2762.468505859375,1390.0,2887.762939453125,5319.0625,3619.494873046875,7474.20751953125
2018-01-18,3838.704345703125,724.7493896484375,1311.3641357421875,2277.41064453125,2770.994384765625,1390.0,2867.1357421875,5383.9287109375,3581.791748046875,7474.20751953125
2018-01-19,3817.4501953125,714.7758178710938,1353.862060546875,2277.41064453125,2753.9423828125,1390.0,2860.260009765625,5416.36279296875,3553.513916015625,7326.8291015625
2018-01-20,3817.4501953125,714.7758178710938,1353.862060546875,2277.41064453125,2753.9423828125,1390.0,2860.260009765625,5416.36279296875,3553.513916015625,7326.8291015625
2018-01-21,3817.4501953125,714.7758178710938,1353.862060546875,2277.41064453125,2753.9423828125,1390.0,2860.260009765625,5416.36279296875,3553.513916015625,7326.8291015625
2018-01-22,3821.700927734375,711.4512329101562,1353.862060546875,2296.283935546875,2753.9423828125,1390.0,2839.633056640625,5351.4951171875,3544.088134765625,7326.8291015625
2018-01-23,3851.458984375,716.43798828125,1359.9329833984375,2466.14599609375,2788.046630859375,1390.0,2812.131103515625,5529.87841796875,3638.345703125,7453.1533203125
2018-01-24,3838.704345703125,724.7493896484375,1335.64892578125,2409.525146484375,2813.625,1390.0,2736.498779296875,5659.6123046875,3666.623779296875,7453.1533203125
2018-01-25,3838.704345703125,726.41162109375,1572.4228515625,2371.7783203125,2779.5205078125,1390.0,2729.62353515625,5659.6123046875,3619.494873046875,7432.09912109375
2018-01-26,3859.9599609375,726.41162109375,1535.9957275390625,2422.107421875,2796.572509765625,1390.0,2853.384521484375,5594.7451171875,3619.494873046875,7432.09912109375
2018-01-27,3859.9599609375,726.41162109375,1535.9957275390625,2422.107421875,2796.572509765625,1390.0,2853.384521484375,5594.7451171875,3619.494873046875,7432.09912109375
2018-01-28,3859.9599609375,726.41162109375,1535.9957275390625,2422.107421875,2796.572509765625,1390.0,2853.384521484375,5594.7451171875,3619.494873046875,7432.09912109375
2018-01-29,3876.96484375,721.4249267578125,1572.4228515625,2390.65185546875,2788.046630859375,1390.0,2798.37939453125,5610.9619140625,3581.791748046875,7474.20751953125
2018-01-30,3876.96484375,718.1002197265625,1584.5650634765625,2340.322021484375,2745.416015625,1390.0,2729.62353515625,5465.01123046875,3478.1083984375,7326.8291015625
2018-01-31,3864.210693359375,711.4512329101562,1584.5650634765625,2327.73974609375,2779.5205078125,1390.0,2743.37451171875,5513.66162109375,3544.088134765625,7347.88232421875
2018-02-01,3974.73876953125,698.1531372070312,1572.4228515625,2327.73974609375,2796.572509765625,1390.0,2736.498779296875,5562.3115234375,3515.81103515625,7326.8291015625
2018-02-02,4076.76513671875,698.1531372070312,1578.493896484375,2352.90478515625,2770.994384765625,1390.0,2750.250244140625,5643.39453125,3506.385498046875,7411.04541015625
2018-02-03,4076.76513671875,698.1531372070312,1578.493896484375,2352.90478515625,2770.994384765625,1390.0,2750.250244140625,5643.39453125,3506.385498046875,7411.04541015625
2018-02-04,4076.76513671875,698.1531372070312,1578.493896484375,2352.90478515625,2770.994384765625,1390.0,2750.250244140625,5643.39453125,3506.385498046875,7411.04541015625
2018-02-05,4047.007080078125,711.4512329101562,1542.067138671875,2378.069091796875,2770.994384765625,1392.5,2757.1259765625,5529.87841796875,3496.95947265625,7368.9375
